CSS Code,Institution Name,state,student.domestic,student.international,parent.noncustodial,IDOC
2294,Hobart and William Smith Coll,NY,No,Yes,Yes,No
206,Horace Greeley Scholarship Fd,NY,Yes,No,Yes,No
7333,Icahn Sch of Med at Mt Sinai,NY,Yes,Yes,Yes,No
1320,Illinois Wesleyan University,IL,Yes,Yes,No,No
2339,"Jewish Theological Seminary of America, NY",NY,Yes,Yes,Yes,Yes
1357,John A. Logan College,IL,No,No,No,Yes
5315,"Johns Hopkins Bloomberg School of Public Health, M",MD,No,Yes,Yes,No
5332,Johns Hopkins University,MD,Yes,Yes,Yes,Yes
5346,Johns Hopkins University School Of Medicine,MD,Yes,Yes,Yes,No
5532,Johns Hopkins University: Peabody Conservatory,MD,Yes,Yes,Yes,Yes
2340,"Juilliard School, The",NY,Yes,Yes,No,No
274,Kamehameha Schools,HI,Yes,No,No,Yes
1370,Kenyon College,OH,Yes,Yes,Yes,No
2653,Kutztown University,PA,Yes,No,No,No
2361,Lafayette College,PA,Yes,Yes,Yes,Yes
1392,Lake Forest College,IL,Yes,Yes,No,No
1398,Lawrence University,WI,Yes,No,Yes,No
2365,Lehigh University,PA,Yes,Yes,Yes,No
5370,Loyola University Maryland,MD,No,Yes,No,No
6390,Macalester College,MN,Yes,Yes,Yes,Yes
2396,Manhattan School of Music,NY,Yes,Yes,Yes,No
2400,Marist College,NY,No,Yes,No,No
3514,Massachusetts Inst of Tech,MA,Yes,Yes,Yes,Yes
935,McGill University,QC,Yes,Yes,Yes,No
186,"MES Fund, Inc.",MA,Yes,No,Yes,No
3526,Middlebury College,VT,Yes,Yes,Yes,Yes
6033,Minerva University,CA,Yes,Yes,Yes,No
4167,Montessori Inst of North Texas,TX,Yes,Yes,No,No
3529,Mount Holyoke College,MA,Yes,Yes,Yes,Yes
85,National Merit Schol Corp,IL,Yes,No,No,No
4572,Nevada State College,NV,Yes,Yes,No,No
6173,New Canaan Community Foundation,CT,Yes,No,No,No
7929,New Canaan HS Schol Foundation,CT,Yes,Yes,No,No
3855,New Saint Andrews College,ID,Yes,Yes,No,No
2785,New York University,NY,Yes,Yes,Yes,Yes
3667,Northeastern University,MA,Yes,No,Yes,Yes
4006,Northern Arizona University,AZ,Yes,No,No,No
1561,Northland College,WI,No,Yes,No,No
6490,Northwestern College,IA,No,Yes,No,No
1565,Northwestern University,IL,Yes,Yes,Yes,Yes
3669,Norwich University,VT,No,Yes,No,No
2305,NYU Long Island School of Medicine,NY,Yes,Yes,Yes,No
2234,NYU: Grossman School of Medicine,NY,Yes,Yes,Yes,No
1587,Oberlin College,OH,Yes,Yes,No,No
4581,Occidental College,CA,Yes,No,Yes,Yes
3482,Oliver Porter Killam Jr Private Foundation,MA,Yes,No,Yes,No
1595,Olivet College,MI,Yes,Yes,No,No
4394,Otis College of Art and Design,CA,Yes,Yes,No,No
2804,Patrick Henry College,VA,Yes,No,Yes,No
4619,Pitzer College,CA,Yes,Yes,Yes,Yes
4607,Pomona College,CA,Yes,Yes,Yes,Yes
1630,Principia College,IL,Yes,No,Yes,No
3693,Providence College,RI,Yes,Yes,No,No
3739,Quinnipiac U Frank H Netter MD School of Medicine,CT,Yes,No,Yes,No
4654,Reed College,OR,Yes,Yes,Yes,Yes
2757,Rensselaer Polytechnic Inst,NY,Yes,No,No,No
1730,Rhodes College,TN,Yes,Yes,No,No
6609,Rice University,TX,Yes,Yes,Yes,Yes
5573,Ringling College of Art and Design,FL,No,Yes,No,No
6845,Rise,NY,Yes,Yes,Yes,Yes
2760,"Rochester Institute of Technology, NY",NY,No,Yes,No,No
3729,Roger Williams University,RI,Yes,No,No,No
2763,Rosemont College,PA,No,No,No,Yes
3780,Sacred Heart University,CT,Yes,No,Yes,No
6629,Saint Louis University,MO,No,No,No,No
4744,San Francisco Conservatory of Music,CA,Yes,Yes,Yes,No
4851,Santa Clara University,CA,Yes,No,No,No
4693,Scripps College,CA,Yes,Yes,Yes,Yes
1842,Sewanee: The University of the South,TN,Yes,Yes,No,No
439,SF Mainliner Scholarship Prg,CA,Yes,Yes,No,No
2814,Siena College,NY,No,Yes,No,No
2815,Skidmore College,NY,Yes,Yes,Yes,No
3762,Smith College,MA,Yes,Yes,Yes,Yes
7050,"Southeastern Baptist Theological Seminary, NC",NC,No,No,No,Yes
9856,Southern Baptist Theo Sem,KY,Yes,Yes,No,No
6660,Southern Methodist University,TX,Yes,No,Yes,No
3763,"Springfield College, MA",MA,No,Yes,No,No
3748,St. Anselm College,NH,Yes,Yes,Yes,No
6619,St. Edwards University,TX,No,Yes,No,No
5598,St. Johns College (MD),MD,Yes,Yes,Yes,No
4737,St. Johns College (NM),NM,Yes,Yes,Yes,No
6638,St. Olaf College,MN,Yes,Yes,Yes,Yes
7473,St. Tikhons Orthodox Theological Seminary,PA,Yes,Yes,No,No
